batch_size,r2_score,training_time,avg_memory,operation_count
1,0.9999013925259198,0.23065495491027832,607.3610400390625,48000
8,0.9998963931940472,0.06209421157836914,607.5520833333334,108000
32,0.9999005802336267,0.03314399719238281,607.5815972222222,216000
128,0.9998965837927545,0.038855791091918945,607.6639300847457,708000
800,0.9823867194974554,0.023761987686157227,607.72203125,1200000
